column,equation,rank,period_h,power_pct,scale
price_buy_EUR_per_kWh,EQ7-input,1,8760.0,22.02,seasonal
price_buy_EUR_per_kWh,EQ7-input,2,4380.0,20.88,seasonal
price_buy_EUR_per_kWh,EQ7-input,3,12.0,10.34,daily
price_buy_EUR_per_kWh,EQ7-input,4,2920.0,5.6,seasonal
price_buy_EUR_per_kWh,EQ7-input,5,24.0,3.72,daily
price_buy_EUR_per_kWh,EQ7-input,6,12.0,2.78,daily
load_demand_kW,EQ1-input,1,168.5,16.23,weekly
load_demand_kW,EQ1-input,2,8760.0,12.87,seasonal
load_demand_kW,EQ1-input,3,165.3,7.26,weekly
load_demand_kW,EQ1-input,4,84.2,5.32,weekly
load_demand_kW,EQ1-input,5,4380.0,4.66,seasonal
load_demand_kW,EQ1-input,6,83.4,4.51,weekly
pv_generation_kW,EQ8,1,24.0,45.92,daily
pv_generation_kW,EQ8,2,23.9,13.64,daily
pv_generation_kW,EQ8,3,24.1,13.22,daily
pv_generation_kW,EQ8,4,8760.0,2.52,seasonal
pv_generation_kW,EQ8,5,8.0,2.33,daily
pv_generation_kW,EQ8,6,8.0,1.18,intra-hourly
grid_buy_kW,"EQ1,EQ7",1,24.0,18.17,daily
grid_buy_kW,"EQ1,EQ7",2,12.0,15.07,daily
grid_buy_kW,"EQ1,EQ7",3,8760.0,5.2,seasonal
grid_buy_kW,"EQ1,EQ7",4,23.9,4.17,daily
grid_buy_kW,"EQ1,EQ7",5,24.1,3.74,daily
grid_buy_kW,"EQ1,EQ7",6,12.0,3.4,daily
grid_sell_kW,"EQ1,EQ7",1,8.0,3.3,daily
grid_sell_kW,"EQ1,EQ7",2,24.0,2.66,daily
grid_sell_kW,"EQ1,EQ7",3,8.0,2.24,intra-hourly
grid_sell_kW,"EQ1,EQ7",4,12.0,1.86,daily
grid_sell_kW,"EQ1,EQ7",5,24.1,1.83,daily
grid_sell_kW,"EQ1,EQ7",6,8760.0,1.72,seasonal
battery_charge_kW,"EQ1,EQ2,EQ5",1,24.0,10.97,daily
battery_charge_kW,"EQ1,EQ2,EQ5",2,12.0,8.16,daily
battery_charge_kW,"EQ1,EQ2,EQ5",3,23.9,5.15,daily
battery_charge_kW,"EQ1,EQ2,EQ5",4,24.1,2.86,daily
battery_charge_kW,"EQ1,EQ2,EQ5",5,8.0,2.42,daily
battery_charge_kW,"EQ1,EQ2,EQ5",6,4.8,1.73,intra-hourly
battery_discharge_kW,"EQ1,EQ2,EQ6",1,12.0,20.7,daily
battery_discharge_kW,"EQ1,EQ2,EQ6",2,24.0,16.33,daily
battery_discharge_kW,"EQ1,EQ2,EQ6",3,23.9,6.62,daily
battery_discharge_kW,"EQ1,EQ2,EQ6",4,12.0,6.35,daily
battery_discharge_kW,"EQ1,EQ2,EQ6",5,8.0,5.61,daily
battery_discharge_kW,"EQ1,EQ2,EQ6",6,24.1,4.97,daily
stored_energy_kWh,"EQ2,EQ3,EQ4",1,24.0,38.77,daily
stored_energy_kWh,"EQ2,EQ3,EQ4",2,23.9,16.71,daily
stored_energy_kWh,"EQ2,EQ3,EQ4",3,12.0,11.67,daily
stored_energy_kWh,"EQ2,EQ3,EQ4",4,24.1,9.99,daily
stored_energy_kWh,"EQ2,EQ3,EQ4",5,12.0,2.52,daily
stored_energy_kWh,"EQ2,EQ3,EQ4",6,12.0,1.24,daily
